"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"575","Apex Friendship High School",0,"",NA,2,3,4,4,4,1,1
"576","Apex Friendship High School",2,"Handout,Lecture,PowerPoint",NA,3,3,3,3,4,3,1
"578","Apex Friendship High School",1,"Other",NA,3,2,4,3,4,3,0
"583","Apex Friendship High School",2,"Video",NA,4,4,4,4,4,3,1
"586","Charlotte Catholic High School",0,"",NA,3,3,3,3,3,3,1
"587","Starmount High School",3,"PowerPoint",NA,4,4,4,4,4,4,1
"599","Apex Friendship High School",4,"Handout,Video",NA,3,4,4,4,4,4,1
"600","Apex Friendship High School",0,"",NA,3,4,4,3,4,3,1
"601","Apex Friendship High School",0,"",NA,3,NA,4,4,4,4,0
"605","Wake Forest High School",1,"Other",NA,4,4,4,3,4,3,1
"611","Apex Friendship High School",0,"",NA,3,4,4,3,4,3,1
"612","Charlotte Catholic High School",0,"",NA,4,4,4,4,4,4,1
"614","Apex Friendship High School",2,"Lecture,PowerPoint,Video",NA,3,4,4,4,4,3,1
"616","Apex Friendship High School",2,"Video",NA,3,4,4,4,4,4,1
"617","Pamlico County High School",0,"",NA,4,4,4,4,4,3,1
"620","Apex Friendship High School",0,"",NA,1,3,4,4,4,4,1
"621","Cuthbertson High School",0,"",NA,3,3,4,4,4,4,1
"623","Apex Friendship High School",4,"Handout,PowerPoint,Video",NA,4,4,4,4,4,4,1
"626","Clinton High School",1,"Handout,Video",NA,3,3,4,3,4,3,1
"627","Clinton High School",3,"Video",NA,1,4,4,3,4,4,1
"628","Clinton High School",0,"",NA,4,3,4,4,4,4,1
"629","Clinton High School",0,"",NA,3,3,4,3,4,2,0
"630","Apex Friendship High School",1,"Video",NA,4,4,4,4,4,4,1
"631","Clinton High School",0,"",NA,1,4,4,4,4,3,0
"632","Clinton High School",1,"Handout,PowerPoint",NA,3,3,4,4,4,3,1
"633","Apex Friendship High School",4,"Handout,Lecture,Video",NA,3,4,4,4,4,4,1
"634","Apex Friendship High School",0,"",NA,4,4,4,4,4,4,1
"636","Clinton High School",0,"",NA,3,3,4,4,4,2,1
"638","Clinton High School",0,"",NA,1,1,4,4,4,3,1
"644","Person High School",0,"",NA,4,3,4,4,4,4,1
"645","Person High School",0,"",NA,4,3,4,4,4,4,1
"646","Pamlico County High School",0,"",NA,3,3,4,3,4,3,1
"647","Pamlico County High School",1,"Handout,Lecture,Other",NA,3,4,4,4,4,4,1
"651","Clinton High School",4,"Handout,Lecture",NA,2,3,3,3,4,4,1
"653","Clinton High School",4,"Handout",NA,4,3,4,3,4,3,1
"657","Apex Friendship High School",0,"",NA,2,3,3,3,4,4,0
"658","Apex Friendship High School",2,"Lecture",NA,3,4,4,4,4,4,1
"664","Apex Friendship High School",1,"Other",NA,2,3,4,3,4,2,1
"671","Charlotte Catholic High School",1,"Other",NA,2,1,4,3,4,4,1
"682","Apex Friendship High School",0,"",NA,2,2,3,2,4,2,0
"684","New Hanover High School",0,"",NA,3,3,4,3,4,3,1
"685","Pamlico County High School",1,"Video",NA,3,4,4,4,4,4,1
"689","Apex Friendship High School",0,"",NA,3,2,4,4,4,3,1
"690","Pamlico County High School",0,"",NA,4,4,4,4,4,4,1
"691","Clinton High School",1,"Lecture,Video",NA,3,3,4,3,4,3,1
"696","Montgomery Central High School",1,"Handout,PowerPoint,Video",NA,3,3,4,4,4,3,1
"698","Apex Friendship High School",0,"",NA,4,3,4,4,4,4,1
"702","Northwest Cabarrus High School",4,"PowerPoint",NA,3,4,4,3,4,4,1
"704","Apex Friendship High School",0,"",NA,3,4,4,3,4,4,1
"710","Clinton High School",2,"Handout,PowerPoint",NA,4,4,4,4,4,4,1
"711","Triangle Math & Science Academy",1,"PowerPoint",NA,3,4,4,3,4,3,1
"712","Apex Friendship High School",0,"",NA,4,4,4,3,4,4,1
"713","Rocky Mount High School",1,"PowerPoint",NA,3,2,3,2,4,3,0
"716","Montgomery Central High School",3,"Handout,Lecture,PowerPoint",NA,3,3,4,3,4,3,1
"720","Rocky Mount High School",2,"Video",NA,4,3,4,4,4,3,1
"721","Rocky Mount High School",0,"",NA,4,2,4,3,4,3,1
"722","Rocky Mount High School",2,"Handout",NA,4,3,4,3,4,4,1
"723","Rocky Mount High School",0,"",NA,1,4,4,4,4,3,1
"724","Montgomery Central High School",0,"",NA,3,3,4,3,4,4,1
"725","Clinton High School",1,"Handout",NA,3,3,4,4,4,4,1
"735","Clinton High School",0,"",NA,3,3,4,3,4,2,1
"736","Cuthbertson High School",0,"",NA,3,3,4,3,4,4,1
"739","Clinton High School",1,"Other",NA,3,3,3,3,3,3,1
"743","Charlotte Catholic High School",0,"",NA,NA,3,4,3,4,2,1
"744","Triangle Math & Science Academy",0,"",NA,2,4,4,4,4,4,1
"745","Clinton High School",4,"Handout",NA,4,4,4,4,4,4,1
"746","Pamlico County High School",0,"",NA,3,4,4,3,4,3,1
"747","Charlotte Catholic High School",4,"Handout",NA,3,3,4,3,4,3,1
"751","Clinton High School",0,"",NA,4,4,4,4,4,3,1
"752","Montgomery Central High School",4,"Video",NA,3,3,4,4,4,4,1
"753","Montgomery Central High School",4,"Handout,Video",NA,3,4,4,4,4,4,1
"755","Apex Friendship High School",0,"",NA,3,4,4,4,4,4,1
"757","Mountain Heritage High School",0,"",NA,3,3,4,4,4,4,1
"761","Apex Friendship High School",2,"Video",NA,3,3,4,3,3,3,1
"769","Mountain Heritage High School",2,"Video",NA,3,3,3,3,3,3,1
"771","Pamlico County High School",1,"Handout",NA,3,4,4,3,4,3,1
"777","Northwest Cabarrus High School",2,"Lecture,PowerPoint,Other",NA,4,3,4,4,4,4,1
"778","Charlotte Catholic High School",3,"PowerPoint",NA,3,3,4,3,4,2,1
"779","Mountain Heritage High School",4,"Video",NA,3,4,4,4,4,3,1
"782","Charlotte Catholic High School",0,"",NA,3,3,3,3,4,2,1
"783","Mountain Heritage High School",0,"",NA,3,3,4,3,4,3,1
"790","Charlotte Catholic High School",0,"",NA,2,3,4,3,4,2,1
"791","Charlotte Catholic High School",0,"",NA,4,4,4,4,4,4,1
"792","Charlotte Catholic High School",1,"Lecture",NA,4,4,4,4,4,3,1
"795","Rocky Mount High School",0,"",NA,3,3,4,3,4,3,1
"812","Charlotte Catholic High School",0,"",NA,1,3,4,3,4,3,1
"813","Mountain Heritage High School",0,"",NA,3,4,4,4,4,4,0
"815","Apex Friendship High School",4,"Other",NA,3,4,4,4,4,4,1
"819","Pamlico County High School",4,"Handout,Lecture,PowerPoint,Video",NA,4,3,4,4,4,3,1
"820","Rocky Mount High School",0,"",NA,4,3,4,4,4,4,1
"822","Charlotte Catholic High School",0,"",NA,3,3,4,3,4,3,1
"825","Pamlico County High School",0,"",NA,3,3,4,4,4,3,1
"826","Mountain Heritage High School",2,"Video",NA,3,4,4,4,4,4,1
"828","Apex Friendship High School",1,"Video,Other",NA,3,4,4,4,4,3,0
"830","Apex Friendship High School",0,"",NA,1,3,4,4,4,4,1
"834","Pamlico County High School",4,"Video",NA,4,4,4,4,4,4,1
